paper_id,paper_short_name,plot_id,plot_title,source_figure,data_type,row_index,x_variable,y_variable,x_units,y_units,x_description,y_description,source_file,doi,processing_note,dp_1mm_x,dp_1mm_y,gap_fig_plume_radius_bwD_vs_zD_1,dp_2mm_x,dp_2mm_y,gap_fig_plume_radius_bwD_vs_zD_2,dp_4mm_x,dp_4mm_y,gap_fig_entrainment_velocity_E_vs_Wc_1,gap_fig_entrainment_velocity_E_vs_Wc_2,gap_fig_mass_flux_Q_over_wslipD2_vs_zD_1,gap_fig_mass_flux_Q_over_wslipD2_vs_zD_2,gap_fig_centerline_velocity_WcWslip_vs_zD_1,gap_fig_centerline_velocity_WcWslip_vs_zD_2
fraga_et_al_2016,Fraga et al. 2016,fig_plume_radius_bwD_vs_zD,Plume radius scaling,Plume radius plot,plume_radius_scaling,1,z_over_D,b_w_over_D,dimensionless,dimensionless,Nondimensional height z/D,Nondimensional plume radius b_w/D,bw_v_zD.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.10529424765435419,0.011103363181676396,,1.066940584341526,0.20805675382171704,,1.2802399283904298,0.4806380863064391,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_plume_radius_bwD_vs_zD,Plume radius scaling,Plume radius plot,plume_radius_scaling,2,z_over_D,b_w_over_D,dimensionless,dimensionless,Nondimensional height z/D,Nondimensional plume radius b_w/D,bw_v_zD.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.15609784331282323,0.012990813969063474,,1.7279258158569926,0.2774481403275885,,1.9839635851305955,0.6082623130202105,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_plume_radius_bwD_vs_zD,Plume radius scaling,Plume radius plot,plume_radius_scaling,3,z_over_D,b_w_over_D,dimensionless,dimensionless,Nondimensional height z/D,Nondimensional plume radius b_w/D,bw_v_zD.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.21703796266125566,0.017323528848992856,,2.8607586247477856,0.3797916870129029,,3.28546890818253,0.8547088125592515,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_plume_radius_bwD_vs_zD,Plume radius scaling,Plume radius plot,plume_radius_scaling,4,z_over_D,b_w_over_D,dimensionless,dimensionless,Nondimensional height z/D,Nondimensional plume radius b_w/D,bw_v_zD.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.344345610456248,0.02633022349343914,,4.9484857705429866,0.533669923120631,,5.319547330604804,1.1103363181676384,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_plume_radius_bwD_vs_zD,Plume radius scaling,Plume radius plot,plume_radius_scaling,5,z_over_D,b_w_over_D,dimensionless,dimensionless,Nondimensional height z/D,Nondimensional plume radius b_w/D,bw_v_zD.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.5116284531307554,0.038986037025490736,,7.847224696575652,0.769774705712371,,9.611545628767148,1.56020554903414,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_plume_radius_bwD_vs_zD,Plume radius scaling,Plume radius plot,plume_radius_scaling,6,z_over_D,b_w_over_D,dimensionless,dimensionless,Nondimensional height z/D,Nondimensional plume radius b_w/D,bw_v_zD.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.8493638577450038,0.07116602801823149,,11.396784448530772,1.026511068004663,,20.67897975890233,2.250467405649704,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_entrainment_velocity_E_vs_Wc,Entrainment velocity versus centerline velocity,Entrainment velocity plot,entrainment_velocity_relation,1,W_c,E,m/s,m/s,Centerline velocity W_c,Entrainment velocity E,E_vs_Wc.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.19783783783783787,0.0,,0.19135135135135137,0.0,,0.10703685503685509,9.090909090909288e-05,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_entrainment_velocity_E_vs_Wc,Entrainment velocity versus centerline velocity,Entrainment velocity plot,entrainment_velocity_relation,2,W_c,E,m/s,m/s,Centerline velocity W_c,Entrainment velocity E,E_vs_Wc.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.2487960687960688,0.0013636363636363655,,0.23700245700245698,0.0022727272727272735,,0.1507518427518428,0.004454545454545454,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_entrainment_velocity_E_vs_Wc,Entrainment velocity versus centerline velocity,Entrainment velocity plot,entrainment_velocity_relation,3,W_c,E,m/s,m/s,Centerline velocity W_c,Entrainment velocity E,E_vs_Wc.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.30949385749385755,0.002818181818181817,,0.29351351351351357,0.005000000000000001,,0.20206388206388212,0.00909090909090909,,,,,,
fraga_et_al_2016,Fraga et al. 2016,fig_entrainment_velocity_E_vs_Wc,Entrainment velocity versus centerline velocity,Entrainment velocity plot,entrainment_velocity_relation,4,W_c,E,m/s,m/s,Centerline velocity W_c,Entrainment velocity E,E_vs_Wc.csv,https://doi.org/10.1016/j.ocemod.2015.11.005,Values preserved from uploaded digitized CSV. Data are stored as diameter-wise paired x-y columns.,0.37019164619164624,0.004272727272727275,,0.3587125307125307,0.008090909090909093,,0.2796265356265356,0.016545454545454544,,,,,,
