paper_id,paper_short_name,plot_id,plot_title,source_figure,data_type,row_index,x_variable,y_variable,x_units,y_units,x_description,y_description,source_file,doi,processing_note,nozzle_a_B_scaled,nozzle_a_k_b,gap_fig_4c_kb_vs_B_1,nozzle_b_B_scaled,nozzle_b_k_b,gap_fig_4c_kb_vs_B_2,nozzle_c_B_scaled,nozzle_c_k_b,gap_fig_4c_kb_vs_B_3,nozzle_d_B_scaled,nozzle_d_k_b,nozzle_a_r_l_over_r_b,gap_fig_4d_rlrb_vs_B_1,nozzle_b_r_l_over_r_b,gap_fig_4d_rlrb_vs_B_2,nozzle_c_r_l_over_r_b,gap_fig_4d_rlrb_vs_B_3,nozzle_d_r_l_over_r_b,nozzle_a_v_l_over_v_s,gap_fig_6b_vlvs_vs_B_1,nozzle_b_v_l_over_v_s,gap_fig_6b_vlvs_vs_B_2,nozzle_c_v_l_over_v_s,gap_fig_6b_vlvs_vs_B_3,nozzle_d_v_l_over_v_s,nozzle_a_lambda,gap_fig_7d_lambda_vs_B_1,nozzle_b_lambda,gap_fig_7d_lambda_vs_B_2,nozzle_c_lambda,gap_fig_7d_lambda_vs_B_3,nozzle_d_lambda
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,1,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,1.0293663060278209,3.227129337539432,,0.5285935085007729,3.066246056782334,,1.0293663060278209,2.649842271293376,,2.0680061823802167,2.7350157728706623,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,2,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,1.5672333848531683,2.375394321766562,,1.0293663060278209,2.753943217665615,,1.5394126738794434,2.4984227129337535,,3.1437403400309125,2.555205047318612,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,3,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,2.0772797527047913,2.4037854889589907,,1.5579598145285933,3.085173501577287,,2.0680061823802167,2.1293375394321767,,4.145285935085008,2.753943217665615,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,4,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,2.6336939721792896,2.1482649842271293,,2.0680061823802167,2.555205047318612,,2.587326120556414,1.8832807570977916,,5.183925811437403,2.5268138801261832,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,5,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,3.1066460587326126,2.138801261829653,,2.5780525502318388,2.7728706624605675,,3.1066460587326126,1.9116719242902214,,,,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,6,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,3.6537867078825346,2.479495268138802,,3.1066460587326126,2.8580441640378544,,3.62596599690881,1.7318611987381702,,,,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,7,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,4.163833075734159,1.9211356466876968,,3.6166924265842346,2.68769716088328,,4.154559505409583,1.6088328075709777,,,,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,8,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,4.69242658423493,2.0441640378548893,,4.1360123647604325,2.583596214511041,,4.6646058732612055,1.6372239747634074,,,,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,9,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,5.193199381761978,2.0441640378548893,,4.646058732612056,2.3659305993690847,,5.183925811437403,1.4763406940063089,,,,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4c_kb_vs_B,Bubble-radius spreading coefficient versus buoyancy flux,Figure 4(c),slip_plume_spreading_coefficient,10,B_scaled,k_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Bubble-radius spreading coefficient in r_b = k_b (Bz/v_s^3)^(1/2).,kb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,,,,5.193199381761978,2.271293375394322,,,,,,,,,,,,,,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4d_rlrb_vs_B,Liquid-to-bubble radius ratio versus buoyancy flux,Figure 4(d),slip_plume_liquid_to_bubble_radius_ratio,1,B_scaled,r_l_over_r_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Ratio of time-averaged liquid plume radius to bubble plume radius.,rlrb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,0.8783997507847885,,,0.45224173875536167,,,0.8749730416237331,,,1.738779324722628,,2.5264815125446307,,1.8362464355035824,,1.1941769907263184,,1.042059859576813,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4d_rlrb_vs_B,Liquid-to-bubble radius ratio versus buoyancy flux,Figure 4(d),slip_plume_liquid_to_bubble_radius_ratio,2,B_scaled,r_l_over_r_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Ratio of time-averaged liquid plume radius to bubble plume radius.,rlrb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,1.294936617862021,,,0.8766504517025715,,,1.2915937792049075,,,2.6028012748316596,,2.476015432172725,,1.8463540293786391,,1.176319762287029,,0.9737940619683205,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4d_rlrb_vs_B,Liquid-to-bubble radius ratio versus buoyancy flux,Figure 4(d),slip_plume_liquid_to_bubble_radius_ratio,3,B_scaled,r_l_over_r_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Ratio of time-averaged liquid plume radius to bubble plume radius.,rlrb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,2.1669981548489123,,,1.3010112386475279,,,1.7084301837962186,,,3.4826268241834595,,2.5335410126764275,,1.8378279935779156,,1.2423138673887517,,1.0499676499484796,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4d_rlrb_vs_B,Liquid-to-bubble radius ratio versus buoyancy flux,Figure 4(d),slip_plume_liquid_to_bubble_radius_ratio,4,B_scaled,r_l_over_r_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Ratio of time-averaged liquid plume radius to bubble plume radius.,rlrb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,3.455908077927679,,,1.717943495243344,,,2.171419328556708,,,3.4515827562243886,,2.6617191057007976,,1.9410893580311994,,1.2524933502671871,,0.9800340274615991,,,,,,,,,,,,,,
mingotti_woods_2023,Mingotti & Woods 2023,fig_4d_rlrb_vs_B,Liquid-to-bubble radius ratio versus buoyancy flux,Figure 4(d),slip_plume_liquid_to_bubble_radius_ratio,5,B_scaled,r_l_over_r_b,10^-5 m^4 s^-3,dimensionless,Source buoyancy flux shown on the paper axis as B × 10^-5 m^4 s^-3. Multiply x by 1e-5 to recover B in m^4 s^-3.,Ratio of time-averaged liquid plume radius to bubble plume radius.,rlrb_vs_B.csv,https://doi.org/10.1017/jfm.2023.668,Values preserved from uploaded digitized CSV. Data are stored as nozzle-wise paired x-y columns.,3.9184778701684597,,,2.604862092928518,,,2.6035441278665736,,,3.8836835925331274,,2.5088543289161533,,1.7750401380268863,,1.2626153219429201,,0.9808391842994415,,,,,,,,,,,,,,
